name,category,original_price,discounted_price,discount_percentage,platform
Vaseline Body Lotion Healthy White Fresh & Fair 200Ml,Lotion,30.200,30.200,0%,www.klikindomaret.com
Lifebuoy Body Wash Lemon Fresh 100Ml,Treatment Liquid Soap,19.700,19.700,0%,www.klikindomaret.com
Rexona Roll-On Glowing White 40Ml,Deodorant Roll On,Rp 17.500,12.900,26%,www.klikindomaret.com
Citra Body Lotion Natural Glowing White Uv 230mL,Lotion,Rp 23.500,19.500,17%,www.klikindomaret.com
Citra Body Lotion Pearly White Uv 210mL,Lotion,Rp 23.500,19.500,17%,www.klikindomaret.com
Lifebuoy Sabun Mandi Lemon Fresh 110G,Sabun Batang,7.700,7.700,0%,www.klikindomaret.com
Lifebuoy Sabun Mandi Lemon Fresh 4X60g,Sabun Batang,14.300,14.300,0%,www.klikindomaret.com
Rexona Deo Roll On Men Motionsense Invisible+Antibacterial 45Ml,Deodorant Roll On,26.200,26.200,0%,www.klikindomaret.com
Lifebuoy Sabun Mandi Cair Refill Lemon Fresh 825mL,Treatment Liquid Soap,Rp 45.900,29.900,35%,www.klikindomaret.com
Lux Sabun Mandi Batang White Velvet Jasmine 3X110g,Sabun Batang,17.500,17.500,0%,www.klikindomaret.com
Lux Sabun Mandi Batang Pink Soft Rose 3X110g,Sabun Batang,17.500,17.500,0%,www.klikindomaret.com
Lifebuoy Sabun Mandi Cair Refill Total10 Red 825mL,Treatment Liquid Soap,Rp 45.900,29.900,35%,www.klikindomaret.com
Vaseline Petroleum Repairing Jelly Original 50Ml,Lotion,35.500,35.500,0%,www.klikindomaret.com
Lifebuoy Sabun Mandi Ts Lemon Fresh 4X110g,Sabun Batang,22.500,22.500,0%,www.klikindomaret.com
Lifebuoy Sabun Mandi Ts Multipack 05966 Mild Care 4X60g,Sabun Batang,14.300,14.300,0%,www.klikindomaret.com
Lifebuoy Sabun Mandi Ts (46093) Total 10 110G,Sabun Batang,7.700,7.700,0%,www.klikindomaret.com
Lifebuoy Sabun Mandi Ts Multipack 06105 Total 10 4X60g,Sabun Batang,14.300,14.300,0%,www.klikindomaret.com
Lifebuoy Sabun Mandi Ts (46094) Mild Care 110G,Sabun Batang,7.700,7.700,0%,www.klikindomaret.com
Rexona Deodorant Roll On Women Invisible Dry 50Ml,Deodorant Spray,21.200,21.200,0%,www.klikindomaret.com
Rexona Deodorant Free Spirit 50Ml,Deodorant Spray,21.200,21.200,0%,www.klikindomaret.com
Rexona Deodorant Roll On Women Shower Clean 50Ml,Deodorant Spray,Rp 21.200,16.600,22%,www.klikindomaret.com
Rexona Deodorant Roll On Men Ultra Recharge 45Ml,Deodorant Spray,21.200,21.200,0%,www.klikindomaret.com
Rexona Men Anti-Perspirant Deodorant Roll On Sport Defence 45Ml,Deodorant Spray,21.200,21.200,0%,www.klikindomaret.com
Lux Sabun Cair Pink Soft Touch Pump 580Ml,Sabun Cair,Rp 81.600,40.000,51%,www.klikindomaret.com
Rexona Deodorant Roll On Women Advaced Brightening 45Ml,Deodorant Spray,26.100,26.100,0%,www.klikindomaret.com
Lifebuoy Sabun Mandi Cair Lemon Fresh 400Ml,Treatment Liquid Soap,Rp 25.900,17.500,32%,www.klikindomaret.com
Rexona Deodorant Roll On Men Invisible Dry 45Ml,Deodorant Spray,21.200,21.200,0%,www.klikindomaret.com
Rexona Deodorant Roll On Women Power Dry 50Ml,Deodorant Spray,Rp 21.200,16.600,22%,www.klikindomaret.com
Ponds Men Pembersih Wajah Ultra Bright Oil Fighter 100G,Pembersih,37.900,37.900,0%,www.klikindomaret.com
Ponds Sun Serum Uv Protect SPF35 Pa+++ UVA UVB 30g,Serum,Rp 29.900,19.900,33%,www.klikindomaret.com
Glow & Lovely Body Wash Multivitamin Niacinamide 825mL,Sabun Cair,Rp 43.500,29.900,31%,www.klikindomaret.com
Glow & Lovely Ultimate UV Duo Vitamin C SPF 35 Pa+++ 20g,Sunscreen,21.700,21.700,0%,www.klikindomaret.com
Ponds Age Miracle Serum Ultimate Youth 7g,Serum,26.500,26.500,0%,www.klikindomaret.com
Ponds Pure Bright/Miracle Whip Collagen 100G,Pembersih,45.300,45.300,0%,www.klikindomaret.com
Ponds Bright Beauty Power Serum 7.5G,Serum,19.000,19.000,0%,www.klikindomaret.com
Ponds Bright Beauty/Miracle Whip Collagen 100G,Pembersih,45.300,45.300,0%,www.klikindomaret.com
Glow & Lovely Bright C Glow Facial Foam Vitamin C 100g,Pembersih,30.900,30.900,0%,www.klikindomaret.com
Pond's Men Pembersih Foam + Scrub Pore Vacuum 90G,Pembersih,49.500,49.500,0%,www.klikindomaret.com
Ponds Pembersih Wajah Anti Bacterial 100G,Pembersih,36.800,36.800,0%,www.klikindomaret.com
Ponds White Beauty Serum Burst Cream 20G,Serum,40.500,40.500,0%,www.klikindomaret.com
Pond's Vitamin Micellar Water Brghtening Rose 100Ml,Facial Cleanser,26.300,26.300,0%,www.klikindomaret.com
